customer_id,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,Age,state,property_valuation,value,cluster
1,Female,93,Health,Mass Customer,Yes,11.0,69.0,NSW,10.0,3018.09,0
2,Male,81,Financial Services,Mass Customer,Yes,16.0,41.0,NSW,10.0,2226.26,0
3,Male,61,Property,Mass Customer,Yes,15.0,68.0,NSW,8.0,3362.8100000000004,0
4,Male,33,IT,Mass Customer,No,7.0,61.0,QLD,9.0,220.57,2
5,Female,56,Not Specified,Affluent Customer,Yes,8.0,45.0,NSW,4.0,2394.94,3
6,Male,35,Retail,High Net Worth,Yes,13.0,56.0,VIC,9.0,3946.55,3
7,Female,6,Financial Services,Affluent Customer,Yes,11.0,46.0,NSW,9.0,220.10999999999999,3
8,Male,31,Not Specified,Mass Customer,No,7.0,60.0,NSW,4.0,7066.94,1
9,Female,97,Argiculture,Affluent Customer,Yes,8.0,49.0,NSW,12.0,2353.1099999999997,3
10,Female,49,Financial Services,Mass Customer,Yes,20.0,34.0,NSW,8.0,4747.33,0
11,Male,99,Property,Mass Customer,No,9.0,68.0,VIC,8.0,3638.84,2
12,Male,58,Manufacturing,Mass Customer,No,8.0,28.0,QLD,4.0,3540.03,2
13,Male,38,Financial Services,High Net Worth,Yes,8.0,67.0,VIC,6.0,4337.38,3
14,Female,85,Financial Services,Affluent Customer,No,6.0,39.0,NSW,8.0,1864.24,1
15,Male,91,Manufacturing,Mass Customer,No,1.0,22.0,NSW,9.0,1728.3900000000003,1
16,Male,38,Not Specified,Mass Customer,Yes,18.0,45.0,VIC,4.0,4521.839999999999,0
17,Male,57,Not Specified,Affluent Customer,Yes,15.0,60.0,VIC,9.0,2015.61,3
18,Female,79,Not Specified,Affluent Customer,No,11.0,55.0,NSW,12.0,3543.38,1
19,Female,76,Manufacturing,High Net Worth,No,1.0,21.0,NSW,9.0,2951.79,1
20,Male,72,Manufacturing,Mass Customer,No,11.0,42.0,NSW,8.0,3608.2799999999997,1
21,Male,74,Manufacturing,Affluent Customer,Yes,16.0,42.0,NSW,7.0,4229.41,3
22,Female,79,IT,Mass Customer,No,11.0,59.0,NSW,8.0,5159.84,1
23,Male,43,Not Specified,High Net Worth,Yes,1.0,27.0,NSW,8.0,5210.5199999999995,3
24,Female,55,Argiculture,Mass Customer,Yes,15.0,44.0,NSW,10.0,4501.69,0
25,Male,72,Financial Services,Mass Customer,Yes,21.0,45.0,QLD,3.0,5333.66,0
26,Female,12,Financial Services,Mass Customer,Yes,16.0,44.0,QLD,5.0,449.37999999999977,0
27,Male,37,Health,Mass Customer,Yes,12.0,44.0,VIC,7.0,3274.25,0
28,Male,5,Health,Affluent Customer,Yes,21.0,49.0,QLD,4.0,3366.5600000000004,3
29,Female,62,Manufacturing,Mass Customer,No,19.0,54.0,QLD,7.0,6175.299999999999,2
30,Male,18,IT,Affluent Customer,Yes,6.0,61.0,NSW,11.0,2633.95,3
31,Female,3,Telecommunications,High Net Worth,Yes,14.0,59.0,NSW,12.0,426.10999999999996,3
32,Female,17,Manufacturing,Affluent Customer,No,4.0,27.0,NSW,9.0,2823.12,1
33,Male,44,Not Specified,Affluent Customer,Yes,11.0,65.0,NSW,9.0,5294.27,3
34,U,59,IT,Affluent Customer,No,20.0,178.0,QLD,8.0,5653.41,2
35,Female,40,Health,High Net Worth,Yes,16.0,59.0,QLD,6.0,3706.5099999999998,3
36,Female,33,Not Specified,Affluent Customer,No,22.0,45.0,NSW,8.0,204.35999999999999,1
37,Female,46,Health,High Net Worth,No,16.0,36.0,QLD,1.0,6338.49,2
38,Female,37,Financial Services,Affluent Customer,No,20.0,67.0,QLD,4.0,2025.34,2
39,Male,5,Entertainment,Mass Customer,No,22.0,43.0,NSW,10.0,6085.17,1
40,Female,91,Manufacturing,Affluent Customer,No,14.0,41.0,NSW,8.0,4552.099999999999,1
41,Male,64,Health,Mass Customer,No,16.0,46.0,VIC,9.0,4698.89,2
42,Female,24,Manufacturing,Mass Customer,No,18.0,45.0,VIC,10.0,427.03999999999996,2
43,Female,38,Retail,Mass Customer,No,5.0,39.0,QLD,8.0,3619.95,2
44,Male,63,Entertainment,Affluent Customer,Yes,17.0,41.0,QLD,2.0,4768.28,3
45,Male,64,Financial Services,Mass Customer,No,8.0,47.0,NSW,3.0,1048.1499999999999,1
46,Female,98,Not Specified,Affluent Customer,Yes,15.0,50.0,VIC,6.0,1623.6299999999997,3
47,Male,51,Health,Affluent Customer,No,2.0,30.0,NSW,4.0,4332.19,1
48,Female,46,Not Specified,Mass Customer,Yes,8.0,47.0,VIC,9.0,5561.08,0
49,Male,63,Not Specified,Affluent Customer,No,1.0,28.0,NSW,9.0,4248.68,1
50,Male,38,Manufacturing,Mass Customer,Yes,16.0,42.0,NSW,10.0,5783.66,0
51,Male,68,Retail,Mass Customer,No,18.0,62.0,QLD,5.0,4855.400000000001,2
52,Male,57,Financial Services,Mass Customer,Yes,13.0,34.0,NSW,8.0,5529.66,0
53,Female,22,Financial Services,Mass Customer,No,16.0,68.0,QLD,3.0,2950.0699999999997,2
54,Female,2,Property,Mass Customer,Yes,18.0,56.0,NSW,8.0,4098.21,0
55,Male,48,Financial Services,Affluent Customer,Yes,7.0,66.0,NSW,10.0,3220.86,3
56,Male,44,Property,Mass Customer,Yes,4.0,26.0,NSW,10.0,1275.2399999999998,0
57,Male,87,Not Specified,Mass Customer,Yes,13.0,34.0,QLD,6.0,5117.96,0
58,Female,26,Financial Services,Affluent Customer,Yes,17.0,55.0,NSW,9.0,3501.37,3
59,Male,60,Not Specified,High Net Worth,No,3.0,22.0,NSW,9.0,2628.37,1
60,Female,18,Manufacturing,Mass Customer,No,10.0,52.0,NSW,10.0,647.22,1
61,Female,47,Property,High Net Worth,No,13.0,62.0,NSW,7.0,4980.76,1
62,Female,38,IT,Mass Customer,Yes,22.0,43.0,NSW,8.0,4920.88,0
63,Female,58,Retail,Mass Customer,Yes,16.0,57.0,NSW,9.0,2190.05,0
64,Male,73,IT,High Net Worth,No,4.0,44.0,VIC,8.0,546.6799999999998,2
65,Male,21,Financial Services,Affluent Customer,Yes,15.0,46.0,NSW,10.0,4441.61,3
66,Male,46,Argiculture,High Net Worth,No,1.0,20.0,NSW,10.0,4549.2,1
67,Male,67,Retail,Mass Customer,No,18.0,62.0,NSW,10.0,1203.2899999999997,1
68,Female,37,Not Specified,Affluent Customer,No,9.0,48.0,VIC,7.0,3842.5599999999995,2
69,Female,16,Not Specified,Mass Customer,No,6.0,53.0,VIC,7.0,5294.75,2
70,Male,78,Financial Services,Affluent Customer,No,8.0,29.0,NSW,12.0,2736.9,1
71,Male,30,Argiculture,Affluent Customer,Yes,12.0,37.0,NSW,10.0,155.6500000000001,3
72,Male,93,Manufacturing,Affluent Customer,Yes,16.0,50.0,QLD,6.0,2656.21,3
73,Female,16,Not Specified,Affluent Customer,Yes,5.0,62.0,NSW,8.0,2316.5099999999998,3
74,Female,94,Not Specified,Mass Customer,Yes,6.0,53.0,QLD,8.0,966.5200000000001,0
75,Female,28,Property,Mass Customer,No,19.0,44.0,NSW,8.0,4979.94,1
76,Female,20,Retail,High Net Worth,Yes,18.0,44.0,QLD,9.0,2868.16,3
77,Male,79,Financial Services,Mass Customer,No,7.0,33.0,QLD,5.0,1657.5800000000002,2
78,Male,37,Argiculture,Affluent Customer,No,8.0,37.0,NSW,9.0,82.25999999999999,1
79,Female,76,Manufacturing,Mass Customer,No,18.0,54.0,NSW,10.0,2597.46,1
80,Male,11,Entertainment,Mass Customer,No,13.0,44.0,VIC,1.0,5988.86,2
81,Female,58,Health,High Net Worth,No,13.0,36.0,NSW,6.0,3249.02,1
82,Female,93,Property,High Net Worth,No,19.0,57.0,VIC,8.0,2924.37,2
83,Male,97,IT,Mass Customer,Yes,18.0,55.0,NSW,12.0,1798.2,0
84,Male,78,Not Specified,Mass Customer,Yes,14.0,64.0,NSW,11.0,2295.2200000000003,0
85,Male,1,Not Specified,Mass Customer,No,8.0,64.0,NSW,11.0,563.3699999999999,1
86,Male,75,Health,High Net Worth,Yes,7.0,33.0,NSW,11.0,2360.09,3
87,Male,78,Financial Services,Mass Customer,No,8.0,48.0,NSW,12.0,3740.7599999999998,1
88,Female,41,Property,High Net Worth,Yes,7.0,56.0,NSW,12.0,2534.3300000000004,3
89,Male,74,Health,Mass Customer,Yes,14.0,55.0,NSW,11.0,5779.650000000001,0
90,Male,76,Manufacturing,Mass Customer,No,11.0,37.0,NSW,10.0,2990.73,1
91,Male,69,Financial Services,Affluent Customer,Yes,17.0,67.0,NSW,9.0,5242.410000000001,3
92,Female,98,Health,Mass Customer,No,12.0,42.0,VIC,10.0,2967.4399999999996,2
93,Male,63,Retail,Mass Customer,Yes,10.0,46.0,VIC,10.0,2976.41,0
94,Male,33,Manufacturing,Mass Customer,No,21.0,48.0,NSW,7.0,4902.21,1
95,Female,67,Manufacturing,Affluent Customer,Yes,8.0,61.0,VIC,10.0,3050.8099999999995,3
96,Male,33,Manufacturing,Mass Customer,No,15.0,54.0,NSW,11.0,1292.9199999999998,1
97,Male,16,Financial Services,Mass Customer,Yes,10.0,43.0,NSW,8.0,4911.21,0
98,Female,19,Health,Mass Customer,No,7.0,66.0,NSW,10.0,1930.5600000000002,1
99,Male,97,Financial Services,Mass Customer,No,3.0,24.0,NSW,9.0,4557.65,1
100,Male,80,Financial Services,Mass Customer,Yes,4.0,54.0,NSW,12.0,877.4,0
101,Male,83,Manufacturing,High Net Worth,No,11.0,46.0,NSW,10.0,2589.89,1
102,Male,51,Manufacturing,Affluent Customer,No,16.0,65.0,NSW,9.0,2587.0099999999998,1
103,Female,49,Financial Services,Affluent Customer,Yes,4.0,25.0,NSW,12.0,913.3199999999999,3
104,Female,40,Health,Mass Customer,Yes,9.0,44.0,QLD,10.0,3749.8600000000006,0
105,Female,25,Manufacturing,Mass Customer,No,1.0,21.0,NSW,10.0,3475.04,1
106,Male,54,Health,High Net Worth,Yes,18.0,56.0,NSW,9.0,2513.69,3
107,Female,97,Financial Services,Mass Customer,Yes,9.0,32.0,NSW,12.0,2343.9700000000003,0
108,Female,4,Not Specified,High Net Worth,No,3.0,28.0,NSW,8.0,2557.42,1
109,Male,16,Not Specified,Affluent Customer,Yes,4.0,43.0,NSW,11.0,4430.66,3
110,Male,23,Financial Services,Affluent Customer,No,1.0,22.0,VIC,8.0,2621.55,2
111,Female,65,Not Specified,Mass Customer,No,2.0,29.0,NSW,12.0,3014.5299999999997,1
112,Female,88,Retail,High Net Worth,No,12.0,47.0,VIC,11.0,5742.19,2
113,Male,67,Not Specified,Mass Customer,No,20.0,66.0,QLD,4.0,2329.4900000000002,2
114,Female,10,Entertainment,Affluent Customer,No,8.0,37.0,NSW,9.0,2195.26,1
115,Male,77,Health,Mass Customer,No,18.0,40.0,VIC,1.0,3135.87,2
116,Male,49,Manufacturing,Affluent Customer,Yes,2.0,23.0,NSW,8.0,2447.5400000000004,3
117,Female,75,Manufacturing,Mass Customer,No,15.0,40.0,QLD,6.0,6917.34,2
118,Male,43,Not Specified,High Net Worth,No,19.0,62.0,VIC,10.0,3550.0999999999995,2
119,Male,9,Not Specified,High Net Worth,Yes,9.0,40.0,VIC,7.0,4217.24,3
120,Male,80,Financial Services,High Net Worth,Yes,4.0,44.0,NSW,2.0,1306.7800000000002,3
121,Male,82,Manufacturing,Mass Customer,No,15.0,65.0,NSW,9.0,2892.0899999999997,1
122,Male,87,Financial Services,Mass Customer,Yes,12.0,43.0,QLD,2.0,2695.2200000000003,0
123,Female,85,Financial Services,High Net Worth,No,15.0,33.0,NSW,8.0,3245.75,1
